visit_id,host,name,value,path,is_session,is_secure,is_http_only,same_site,expiry,first_party,cookie_domain,fp_domain,is_third_party,owner,categ,default,prevalence,fingerprinting
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0654,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0628,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0488,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0401,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0391,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0362,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0354,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0343,3.0
7603129937976433,.youtube.com,YSC,rAQSpJXpZLI,/,1,1,1,no_restriction,,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0228,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0654,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0628,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0488,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0401,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0391,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0362,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0354,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0343,3.0
7603129937976433,.youtube.com,VISITOR_INFO1_LIVE,fB-2QP4hMss,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0228,3.0
7603129937976433,.youtube.com,VISITOR_PRIVACY_METADATA,CgJFUxIhEh0SGwsMDg8QERITFBUWFxgZGhscHR4fICEiIyQlJiBN,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0654,3.0
7603129937976433,.youtube.com,VISITOR_PRIVACY_METADATA,CgJFUxIhEh0SGwsMDg8QERITFBUWFxgZGhscHR4fICEiIyQlJiBN,/,0,1,1,no_restriction,2026-02-09 17:59:10+00:00,https://www.andm.gov.za/,youtube.com,andm.gov.za,1,Google LLC,Ad Motivated Tracking;CDN;Embedded Content,unknown,0.0628,3.0
